Start Date,End Date,Event Title,Arc,Label,Tags,Participants,Notes
26/09/2014,26/09/2014,The Pebbles and Bamm-Bamm Show,,media,television,Government of Canada,
26/09/2014,26/09/2014,The Pebbles and Bamm-Bamm Show,,media,television,Shared Services Canada,
26/09/2014,26/09/2014,The Flintstone Comedy Hour,,media,television,Government of Canada,
26/09/2014,26/09/2014,The Flintstone Comedy Hour,,media,television,Shared Services Canada,
26/09/2014,26/09/2014,The Pebbles and Bamm-Bamm Show,,media,television,Government of Canada,
26/09/2014,26/09/2014,The Pebbles and Bamm-Bamm Show,,media,television,Shared Services Canada,
26/09/2014,26/09/2014,Confrontation at Concordia,,media,film,Shared Services Canada,
26/09/2014,26/09/2014,Confrontation at Concordia,,media,film,Transport Canada,
26/09/2014,26/09/2014,Talk:Star Citizen,,talk,talk,Shared Services Canada,
29/09/2014,29/09/2014,Federal districts of Russia,,politics,government,Shared Services Canada,
29/09/2014,29/09/2014,Ibrahim al-Hamdi,,military,soldier,Shared Services Canada,
29/09/2014,29/09/2014,Flying car (aircraft),,aviation,plane,Department of Justice Canada,
30/09/2014,30/09/2014,Denial,,science,theory,Shared Services Canada,
30/09/2014,30/09/2014,Rector (surname),,language,name,Canadian Department of National Defence,
30/09/2014,30/09/2014,Rector (surname),,language,name,Canadian Department of National Defence,
01/10/2014,01/10/2014,Table tennis at the 2014 Asian Games – Men's singles,,sports,table tennis,Shared Services Canada,
01/10/2014,01/10/2014,Table tennis at the 2014 Asian Games – Men's singles,,sports,table tennis,Shared Services Canada,
01/10/2014,01/10/2014,National Patriots' Day,,media,event,Canadian House of Commons,
01/10/2014,01/10/2014,Ralph A. Lewin,,science,scientist,Shared Services Canada,
01/10/2014,01/10/2014,Escitalopram,,science,theory,Shared Services Canada,
01/10/2014,01/10/2014,Zagazig,,education,university,Industry Canada,
01/10/2014,01/10/2014,Battle of the Sambre (1918),,military,military battle,Shared Services Canada,
01/10/2014,01/10/2014,Peel Region municipal elections 20,,politics,politics event,Canadian Department of National Defence,
01/10/2014,01/10/2014,Peel Region municipal elections 20,,politics,politics event,Canadian Department of National Defence,
02/10/2014,02/10/2014,Dragons' Den (Canada),,media,television,Canadian Broadcasting Corporation,
03/10/2014,03/10/2014,Ron Francis,,sports,hockey,Industry Canada,
03/10/2014,03/10/2014,Area codes 902 and 782,,technology,telephone,Shared Services Canada,
03/10/2014,03/10/2014,Cinderella (sports),,sports,athletics,Industry Canada,
03/10/2014,03/10/2014,Cinderella (sports),,sports,athletics,Industry Canada,
03/10/2014,03/10/2014,List of comparative military ranks,,military,military ranks,Canadian Department of National Defence,
03/10/2014,03/10/2014,List of comparative military ranks,,military,military ranks,Canadian Department of National Defence,
03/10/2014,03/10/2014,Talk:Northwest Passage,,talk,talk,Canadian Department of National Defence,
03/10/2014,03/10/2014,Kenojuak Ashevak,,media,artist,Shared Services Canada,
03/10/2014,03/10/2014,Inside-the-park home run,,sports,baseball,Shared Services Canada,
03/10/2014,03/10/2014,Inside-the-park home run,,sports,baseball,Shared Services Canada,
03/10/2014,03/10/2014,Inside-the-park home run,,sports,baseball,Shared Services Canada,
03/10/2014,03/10/2014,John Williamson (Canadian politician),,politics,politician,Canadian House of Commons,
03/10/2014,03/10/2014,Nonlinear autoregressive exogenous model,,science,theory,Statistics Canada,
03/10/2014,03/10/2014,Autoregressive conditional heteroskedasticity,,science,theory,Statistics Canada,
03/10/2014,03/10/2014,Autoregressive conditional heteroskedasticity,,science,theory,Statistics Canada,
03/10/2014,03/10/2014,Multivariate adaptive regression splines,,science,theory,Statistics Canada,
03/10/2014,03/10/2014,Nicole Eaton,,politics,politician,Canadian House of Commons,
04/10/2014,04/10/2014,List of municipalities in Manitoba,,place,manitoba canada,Shared Services Canada,
05/10/2014,05/10/2014,The British Columbia Regiment (Duke,,military,military unit,Canadian Department of National Defence,
06/10/2014,06/10/2014,Velours,,product,clothing,Shared Services Canada,
06/10/2014,06/10/2014,80 (nombre),,science,math,Shared Services Canada,
06/10/2014,06/10/2014,Robert Giguère,,politics,person,Library and Archives Canada,
06/10/2014,06/10/2014,Investors Group Field,,sports,football,Industry Canada,
06/10/2014,06/10/2014,Fire and Water (Free album),,media,music,Shared Services Canada,
06/10/2014,06/10/2014,Embassy of Chad in Washington D.C.,,politics,department,Shared Services Canada,
06/10/2014,06/10/2014,Transportation Safety Board of Canada,,politics,department,Shared Services Canada,
06/10/2014,06/10/2014,Transportation Safety Board of Canada,,politics,department,Shared Services Canada,
06/10/2014,06/10/2014,Transportation Safety Board of Canada,,politics,department,Shared Services Canada,
06/10/2014,06/10/2014,Transportation Safety Board of Canada,,politics,department,Shared Services Canada,
06/10/2014,06/10/2014,John Fields (record producer),,media,music,Natural Resources Canada,
07/10/2014,07/10/2014,Central sleep apnea,,science,theory,Shared Services Canada,
07/10/2014,07/10/2014,Ottawa municipal election  2014,,politics,politics event,Shared Services Canada,
07/10/2014,07/10/2014,William Booth,,religion,religious person,Canadian Department of National Defence,
07/10/2014,07/10/2014,Star Citizen,,media,game,Shared Services Canada,
07/10/2014,07/10/2014,Wikipedia:Articles for creation/Redirects,,wikipedia,wikipedia,Shared Services Canada,
07/10/2014,07/10/2014,Jean-François Larose,,politics,politician,Canadian House of Commons,
07/10/2014,07/10/2014,Kiryas Tosh,,place,quebec canada,Shared Services Canada,
07/10/2014,07/10/2014,Star Citizen,,media,game,Shared Services Canada,
07/10/2014,07/10/2014,Star Citizen,,media,game,Shared Services Canada,
07/10/2014,07/10/2014,Gordon Van Tol,,sports,water polo,Shared Services Canada,
07/10/2014,07/10/2014,The North Saskatchewan Regiment,,military,military unit,Canadian Department of National Defence,
08/10/2014,08/10/2014,Royal Jordanian,,aviation,airline,Shared Services Canada,
08/10/2014,08/10/2014,Grippe,,science,medicine,Shared Services Canada,
08/10/2014,08/10/2014,Draft:Ihor Walter Bardyn,,draft,draft,Canadian House of Commons,
08/10/2014,08/10/2014,Portail:Apple/Matériel,,portal,portal,Canadian Department of National Defence,
08/10/2014,08/10/2014,Portail:Apple/Matériel,,portal,portal,Canadian Department of National Defence,
08/10/2014,08/10/2014,Receiver of Wreck,,politics,law,Shared Services Canada,
08/10/2014,08/10/2014,Receiver of Wreck,,politics,law,Transport Canada,
08/10/2014,08/10/2014,It Hurts Me Too,,media,music,Natural Resources Canada,
08/10/2014,08/10/2014,2002 Air Canada Cup,,sports,hockey,Shared Services Canada,
08/10/2014,08/10/2014,Douglas Jung,,politics,politician,Environment Canada,
09/10/2014,09/10/2014,NHL Heritage Classic,,sports,hockey,Shared Services Canada,
09/10/2014,09/10/2014,NHL Heritage Classic,,sports,hockey,Shared Services Canada,
09/10/2014,09/10/2014,Greater Winnipeg Water District aqueduct,,politics,poltical event,Shared Services Canada,
09/10/2014,09/10/2014,List of comparative military ranks,,military,military ranks,Shared Services Canada,
09/10/2014,09/10/2014,The Brockville Rifles,,military,military unit,Canadian Department of National Defence,
09/10/2014,09/10/2014,Canadian Red Cross,,politics,organisation,Environment Canada,
09/10/2014,09/10/2014,Canadian Red Cross,,politics,organisation,Environment Canada,
09/10/2014,09/10/2014,Paul Triquet,,military,soldier,Canadian Department of National Defence,
09/10/2014,09/10/2014,Dick Pound,,politics,politician,Canadian Department of National Defence,
09/10/2014,09/10/2014,McDonnell Douglas CF-18 Hornet,,military,military equipment,Canadian Department of National Defence,
09/10/2014,09/10/2014,McDonnell Douglas CF-18 Hornet,,military,military equipment,Canadian Department of National Defence,
10/10/2014,10/10/2014,South Alberta Light Horse,,military,military unit,Canadian Department of National Defence,
10/10/2014,10/10/2014,South Alberta Light Horse,,military,military unit,Canadian Department of National Defence,
10/10/2014,10/10/2014,South Alberta Light Horse,,military,military unit,Canadian Department of National Defence,
10/10/2014,10/10/2014,South Alberta Light Horse,,military,military unit,Canadian Department of National Defence,
10/10/2014,10/10/2014,South Alberta Light Horse,,military,military unit,Canadian Department of National Defence,
10/10/2014,10/10/2014,South Alberta Light Horse,,military,military unit,Canadian Department of National Defence,
10/10/2014,10/10/2014,South Alberta Light Horse,,military,military unit,Canadian Department of National Defence,
10/10/2014,10/10/2014,WhatsApp,,technology,application,Shared Services Canada,
10/10/2014,10/10/2014,Talk:Shelly Glover,,talk,talk,Canadian House of Commons,
10/10/2014,10/10/2014,Multilinear principal component analysis,,science,theory,Statistics Canada,
10/10/2014,10/10/2014,AC/DC,,media,music,Canadian Department of National Defence,
12/10/2014,12/10/2014,Ramones,,media,music,Canadian Department of National Defence,
12/10/2014,12/10/2014,Preso de conciencia,,science,theory,Shared Services Canada,
12/10/2014,12/10/2014,Preso de conciencia,,science,theory,Shared Services Canada,
13/10/2014,13/10/2014,Consejo de Guardianes,,politics,organisation,Shared Services Canada,
13/10/2014,13/10/2014,Mohsén Rezaí,,politics,politician,Shared Services Canada,
14/10/2014,14/10/2014,Léo Bonneville,,media,editor,Department of Justice Canada,
14/10/2014,14/10/2014,Dean Allison,,politics,politician,Canadian House of Commons,
14/10/2014,14/10/2014,Talk:Far side of the Moon,,talk,talk,Industry Canada,
14/10/2014,14/10/2014,Toronto FC,,sports,soccer,Environment Canada,
14/10/2014,14/10/2014,Ancaster Ontario,,place,ontario canada,Natural Resources Canada,
14/10/2014,14/10/2014,Splendor in the Grass,,media,film,Industry Canada,
14/10/2014,14/10/2014,David Xiao,,politics,politician,Canadian House of Commons,
14/10/2014,14/10/2014,Solidarity Forever,,politics,music,Industry Canada,
14/10/2014,14/10/2014,Ancaster Ontario,,place,ontario canada,Natural Resources Canada,
15/10/2014,15/10/2014,Chic-a-Go-Go,,media,television,Canadian Broadcasting Corporation,
15/10/2014,15/10/2014,Tub Ring,,media,music,Canadian Broadcasting Corporation,
15/10/2014,15/10/2014,The Debaters,,media,film,Industry Canada,
15/10/2014,15/10/2014,Callander Ontario,,place,ontario canada,Shared Services Canada,
15/10/2014,15/10/2014,Callander Ontario,,place,ontario canada,Shared Services Canada,
15/10/2014,15/10/2014,Place d'Orléans,,place,ontario canada,Shared Services Canada,
15/10/2014,15/10/2014,Janis Johnson,,politics,politician,Canadian House of Commons,
15/10/2014,15/10/2014,Janis Johnson,,politics,politician,Canadian House of Commons,
15/10/2014,15/10/2014,Janis Johnson,,politics,politician,Canadian House of Commons,
15/10/2014,15/10/2014,Janis Johnson,,politics,politician,Canadian House of Commons,
15/10/2014,15/10/2014,Janis Johnson,,politics,politician,Canadian House of Commons,
15/10/2014,15/10/2014,Janis Johnson,,politics,politician,Canadian House of Commons,
16/10/2014,16/10/2014,Gibraltar,,place,europe,Shared Services Canada,
16/10/2014,16/10/2014,Incorporation of Tibet into the Peo,,politics,politics event,Canadian Department of National Defence,
16/10/2014,16/10/2014,Standards Council of Canada,,politics,organisation,Shared Services Canada,
16/10/2014,16/10/2014,Aéroport d'Iqaluit,,aviation,airport,Shared Services Canada,
16/10/2014,16/10/2014,Aéroport d'Iqaluit,,aviation,airport,Shared Services Canada,
16/10/2014,16/10/2014,Star Citizen,,media,game,Shared Services Canada,
16/10/2014,16/10/2014,McTaggart,,disambiguation,disambiguation,Shared Services Canada,
16/10/2014,16/10/2014,Institut suédois de météorologie et d'hydrologie,,science,science place,Environment Canada,
16/10/2014,16/10/2014,Modèle:Palette Services météorologiques nationaux,,template,template,Environment Canada,
16/10/2014,16/10/2014,SMHI,,politics,department,Environment Canada,
16/10/2014,16/10/2014,Tempête Xaver,,template,template,Environment Canada,
16/10/2014,16/10/2014,File:Smhiofficesnorrkoping.jpg,,file,file,Environment Canada,
16/10/2014,16/10/2014,Category:Swedish Meteorological and Hydrological Institu,,category,category,Environment Canada,
16/10/2014,16/10/2014,File:SMHI Observatoriekullen 2011.jpg,,file,file,Environment Canada,
16/10/2014,16/10/2014,File:SMHI Observatoriekullen 2011.jpg,,file,file,Environment Canada,
16/10/2014,16/10/2014,Wendy Son,,media,music,Environment Canada,
16/10/2014,16/10/2014,Wingsuit flying,,technology,parachute,Shared Services Canada,
16/10/2014,16/10/2014,Wingsuit flying,,technology,parachute,Transport Canada,
16/10/2014,16/10/2014,Wingsuit flying,,technology,parachute,Shared Services Canada,
16/10/2014,16/10/2014,Wingsuit flying,,technology,parachute,Transport Canada,
16/10/2014,16/10/2014,File:Tree of Wisdom Wellcome L0017329.jpg,,file,file,Environment Canada,
16/10/2014,16/10/2014,File:Weather table for month of December 1777  France W,,file,file,Environment Canada,
16/10/2014,16/10/2014,File:Weather table for the month of August 1776 France,,file,file,Environment Canada,
16/10/2014,16/10/2014,File:Weather table for the year 1776 France Wellcome L0,,file,file,Environment Canada,
16/10/2014,16/10/2014,File:Weather table for the year 1777 France Wellcome L0,,file,file,Environment Canada,
16/10/2014,16/10/2014,Cyclone Hudhud,,science,theory,Environment Canada,
16/10/2014,16/10/2014,King City weather radar station,,science,environment,Environment Canada,
16/10/2014,16/10/2014,Carthage Missouri,,place,america,Industry Canada,
17/10/2014,17/10/2014,Glass Swords,,media,music,Shared Services Canada,
17/10/2014,17/10/2014,Glass Swords,,media,music,Transport Canada,
17/10/2014,17/10/2014,Portail:Apple/Matériel,,portal,portal,Canadian Department of National Defence,
17/10/2014,17/10/2014,Portail:Apple/Matériel,,portal,portal,Canadian Department of National Defence,
17/10/2014,17/10/2014,5th Projekt,,media,music,Canadian Broadcasting Corporation,
17/10/2014,17/10/2014,5th Projekt,,media,music,Canadian Broadcasting Corporation,
17/10/2014,17/10/2014,5th Projekt,,media,music,Canadian Broadcasting Corporation,
17/10/2014,17/10/2014,5th Projekt,,media,music,Canadian Broadcasting Corporation,
17/10/2014,17/10/2014,5th Projekt,,media,music,Canadian Broadcasting Corporation,
17/10/2014,17/10/2014,Canadian Forces ranks and insignia,,military,military rank,Canadian Department of National Defence,
17/10/2014,17/10/2014,Pacific Palisades Los Angeles,,place,america,Industry Canada,
17/10/2014,17/10/2014,Talk:Star Citizen,,talk,talk,Shared Services Canada,
19/10/2014,19/10/2014,Junior Ah You,,sports,football,Finance Canada,
19/10/2014,19/10/2014,Junior Ah You,,sports,football,Shared Services Canada,
20/10/2014,20/10/2014,Xylitol,,science,medicine,Natural Resources Canada,
20/10/2014,20/10/2014,Benoît XVI,,politics,royalty,Canadian Department of National Defence,
20/10/2014,20/10/2014,List of killings by law enforcement officers in Cana,,police,police,Shared Services Canada,
20/10/2014,20/10/2014,Star Citizen,,media,game,Shared Services Canada,
20/10/2014,20/10/2014,List of killings by law enforcement officers in Cana,,police,police,Shared Services Canada,
20/10/2014,20/10/2014,Star Citizen,,media,game,Shared Services Canada,
20/10/2014,20/10/2014,Talk:Star Citizen,,talk,talk,Shared Services Canada,
20/10/2014,20/10/2014,Star Citizen,,media,game,Shared Services Canada,
21/10/2014,21/10/2014,List of killings by law enforcement officers in Cana,,police,police,Shared Services Canada,
21/10/2014,21/10/2014,Suzanne Todd,,media,producer,Natural Resources Canada,
21/10/2014,21/10/2014,List of Homestar Runner characters,,media,television,Shared Services Canada,
21/10/2014,21/10/2014,List of Homestar Runner characters,,media,television,Finance Canada,
21/10/2014,21/10/2014,List of Homestar Runner characters,,media,television,Finance Canada,
21/10/2014,21/10/2014,List of Homestar Runner characters,,media,television,Shared Services Canada,
21/10/2014,21/10/2014,List of Homestar Runner characters,,media,television,Finance Canada,
21/10/2014,21/10/2014,List of Homestar Runner characters,,media,television,Shared Services Canada,
21/10/2014,21/10/2014,List of Homestar Runner characters,,media,television,Shared Services Canada,
21/10/2014,21/10/2014,List of Homestar Runner characters,,media,television,Finance Canada,
21/10/2014,21/10/2014,Yvon Godin,,politics,politician,Canadian House of Commons,
21/10/2014,21/10/2014,Valeant Pharmaceuticals,,science,company,Environment Canada,
22/10/2014,22/10/2014,Wikipedia:The Wikipedia Library/Research desk,,wikipedia,wikipedia,Environment Canada,
22/10/2014,22/10/2014,Norman Paterson School of International Affairs,,education,university,Shared Services Canada,
22/10/2014,22/10/2014,Norman Paterson School of International Affairs,,education,university,Shared Services Canada,
22/10/2014,22/10/2014,Serjeant-at-Arms,,politics,organisation,Department of Fisheries and Oceans,
22/10/2014,22/10/2014,Serjeant-at-Arms,,politics,organisation,Shared Services Canada,
22/10/2014,22/10/2014,Darin Erstad,,sports,baseball,Shared Services Canada,
23/10/2014,23/10/2014,Talk:Standards Council of Canada,,talk,talk,Shared Services Canada,
23/10/2014,23/10/2014,Standards Council of Canada,,politics,organisation,Shared Services Canada,
23/10/2014,23/10/2014,Talk:Mrs Vandebilt,,talk,talk,Natural Resources Canada,
23/10/2014,23/10/2014,Serjeant-at-Arms,,politics,organisation,Library and Archives Canada,
23/10/2014,23/10/2014,Centre Block,,place,ontario canada,Library and Archives Canada,
23/10/2014,23/10/2014,Centre Block,,place,ontario canada,Library and Archives Canada,
23/10/2014,23/10/2014,Centre Block,,place,ontario canada,Library and Archives Canada,
23/10/2014,23/10/2014,NATO Research and Technology Organi,,military,military place,Canadian Department of National Defence,
24/10/2014,24/10/2014,2014 shootings at Parliament Hill Ottawa,,terrorism,attack,Shared Services Canada,
24/10/2014,24/10/2014,Canada national rugby union team,,sports,rugby,Shared Services Canada,
24/10/2014,24/10/2014,Conor McGregor,,sports,mixed martial arts,Canadian Department of National Defence,
24/10/2014,24/10/2014,2015 Indy Lights season,,sports,racing,Natural Resources Canada,
24/10/2014,24/10/2014,List of compositions by Johann Nepomuk Hu,,media,music,Canadian Broadcasting Corporation,
24/10/2014,24/10/2014,Franco-Ontariens,,politics,people,Shared Services Canada,
25/10/2014,25/10/2014,Bobby Shmurda,,media,rapper,Canadian Museum of Civilization,
26/10/2014,26/10/2014,Vehicle registration plates of Cana,,politics,law,Canadian Department of National Defence,
27/10/2014,27/10/2014,西灣國殤紀念墳場,,place,asia,Shared Services Canada,
27/10/2014,27/10/2014,File:Courant-Jet 2.png,,file,file,Environment Canada,
27/10/2014,27/10/2014,List of Middle Eastern superheroes,,media,comic,Shared Services Canada,
27/10/2014,27/10/2014,Gordon Thiessen,,politics,banking,Department of Justice Canada,
27/10/2014,27/10/2014,Talk:Scam City,,talk,talk,Shared Services Canada,
27/10/2014,27/10/2014,Talk:Scam City,,talk,talk,Shared Services Canada,
28/10/2014,28/10/2014,Champlain Society,,politics,political history,Canadian Broadcasting Corporation,
28/10/2014,28/10/2014,Champlain Society,,politics,political history,Canadian Broadcasting Corporation,
28/10/2014,28/10/2014,Champlain Society,,politics,political history,Canadian Broadcasting Corporation,
28/10/2014,28/10/2014,Champlain Society,,politics,political history,Canadian Broadcasting Corporation,
28/10/2014,28/10/2014,Richacha Balengola,,media,music,Shared Services Canada,
28/10/2014,28/10/2014,Richacha Balengola,,media,music,Shared Services Canada,
28/10/2014,28/10/2014,Kendall Waston,,sports,soccer,Industry Canada,
28/10/2014,28/10/2014,Paul Pierce,,sports,basketball,Canadian Department of National Defence,
28/10/2014,28/10/2014,Stormont Dundas and Glengarry United Counties munic,,place,ontario canada,Shared Services Canada,
28/10/2014,28/10/2014,Clarington,,place,ontario canada,Canadian House of Commons,
28/10/2014,28/10/2014,Clarington,,place,ontario canada,Canadian House of Commons,
28/10/2014,28/10/2014,Stanley Ellin,,media,author,Finance Canada,
28/10/2014,28/10/2014,Stanley Ellin,,media,author,Shared Services Canada,
28/10/2014,28/10/2014,Dean Del Mastro,,politics,politician,Canadian House of Commons,
28/10/2014,28/10/2014,Category:Cyclone Bejisa,,category,category,Environment Canada,
28/10/2014,28/10/2014,File:Bejisa Dec 30 2013 0640Z.jpg,,file,file,Environment Canada,
28/10/2014,28/10/2014,File:Bejisa Dec 31 2013 1010Z.jpg,,file,file,Environment Canada,
28/10/2014,28/10/2014,File:Bejisa Jan 1 2014 0630Z.jpg,,file,file,Environment Canada,
28/10/2014,28/10/2014,File:Bejisa Jan 2 2014 1000Z.jpg,,file,file,Environment Canada,
28/10/2014,28/10/2014,File:Bejisa 31 december 2013 0004 utc trmm pr.jpg,,file,file,Environment Canada,
28/10/2014,28/10/2014,File:Bejisa 31 december 2013 0004 utc trmm pr.jpg,,file,file,Environment Canada,
28/10/2014,28/10/2014,File:Indonesia Cloud Towers.jpg,,file,file,Environment Canada,
28/10/2014,28/10/2014,Social isolation,,language,event,Shared Services Canada,
28/10/2014,28/10/2014,File:Indonesia Cloud Towers.jpg,,file,file,Environment Canada,
28/10/2014,28/10/2014,File:Grainfield(byTaylorLeopold).jpg,,file,file,Environment Canada,
28/10/2014,28/10/2014,Judy Sgro,,politics,politician,Canadian House of Commons,
28/10/2014,28/10/2014,Andrée Boucher (comédienne),,media,comedy,Shared Services Canada,
29/10/2014,29/10/2014,Hanna-Barbera Classics Collection,,media,television,Government of Canada,
29/10/2014,29/10/2014,Hanna-Barbera Classics Collection,,media,television,Shared Services Canada,
29/10/2014,29/10/2014,Hanna-Barbera,,media,television,Government of Canada,
29/10/2014,29/10/2014,Hanna-Barbera,,media,television,Shared Services Canada,
29/10/2014,29/10/2014,The Facts of Life Reunion,,media,film,Government of Canada,
29/10/2014,29/10/2014,The Facts of Life Reunion,,media,film,Shared Services Canada,
29/10/2014,29/10/2014,Stefie Shock,,media,singer,Shared Services Canada,
29/10/2014,29/10/2014,Clarence-Rockland,,place,ontario canada,Natural Resources Canada,
29/10/2014,29/10/2014,Hanna–Barbera Classics Collection,,media,television,Government of Canada,
29/10/2014,29/10/2014,Hanna–Barbera Classics Collection,,media,television,Shared Services Canada,
29/10/2014,29/10/2014,Hanna–Barbera Classics Collection,,media,television,Government of Canada,
29/10/2014,29/10/2014,Hanna–Barbera Classics Collection,,media,television,Shared Services Canada,
29/10/2014,29/10/2014,2015 Indy Lights season,,sports,racing,Natural Resources Canada,
29/10/2014,29/10/2014,2015 Indy Lights season,,sports,racing,Natural Resources Canada,
29/10/2014,29/10/2014,2015 Indy Lights season,,sports,racing,Natural Resources Canada,
29/10/2014,29/10/2014,Hanna–Barbera Classics Collection,,media,television,Government of Canada,
29/10/2014,29/10/2014,Hanna–Barbera Classics Collection,,media,television,Shared Services Canada,
29/10/2014,29/10/2014,Hanna–Barbera Classics Collection,,media,television,Government of Canada,
29/10/2014,29/10/2014,Hanna–Barbera Classics Collection,,media,television,Shared Services Canada,
29/10/2014,29/10/2014,Challenge of the GoBots,,media,television,Government of Canada,
29/10/2014,29/10/2014,Challenge of the GoBots,,media,television,Shared Services Canada,
29/10/2014,29/10/2014,Hanna–Barbera Classics Collection,,media,television,Government of Canada,
29/10/2014,29/10/2014,Hanna–Barbera Classics Collection,,media,television,Shared Services Canada,
29/10/2014,29/10/2014,Hanna–Barbera Classics Collection,,media,television,Government of Canada,
29/10/2014,29/10/2014,Hanna–Barbera Classics Collection,,media,television,Shared Services Canada,
29/10/2014,29/10/2014,Hanna–Barbera Classics Collection,,media,television,Government of Canada,
29/10/2014,29/10/2014,Hanna–Barbera Classics Collection,,media,television,Shared Services Canada,
29/10/2014,29/10/2014,Deepak Chopra (Canada Post),,politics,politician,Shared Services Canada,
29/10/2014,29/10/2014,File:Clouds (4203745902).jpg,,file,file,Environment Canada,
30/10/2014,30/10/2014,Chicago Cubs,,sports,baseball,Shared Services Canada,
30/10/2014,30/10/2014,Leaside,,place,ontario canada,Environment Canada,
30/10/2014,30/10/2014,Leaside,,place,ontario canada,Environment Canada,
30/10/2014,30/10/2014,Dolci dei morti,,product,food,Shared Services Canada,
30/10/2014,30/10/2014,Q (radio show),,media,radio,Canadian Broadcasting Corporation,
30/10/2014,30/10/2014,Free trade agreements of Canada,,politics,politics event,Shared Services Canada,
30/10/2014,30/10/2014,Free trade agreements of Canada,,politics,politics event,Shared Services Canada,
30/10/2014,30/10/2014,Free trade agreements of Canada,,politics,politics event,Shared Services Canada,
30/10/2014,30/10/2014,Free trade agreements of Canada,,politics,politics event,Shared Services Canada,
30/10/2014,30/10/2014,Free trade agreements of Canada,,politics,politics event,Shared Services Canada,
30/10/2014,30/10/2014,Jian Ghomeshi alleged sexual abuse scandal,,media,television,Natural Resources Canada,
30/10/2014,30/10/2014,Allan Rock,,politics,politician,Industry Canada,
30/10/2014,30/10/2014,Forêt humide,,science,theory,Environment Canada,
30/10/2014,30/10/2014,Modèle:Palette Temps (météorologie),,template,template,Environment Canada,
30/10/2014,30/10/2014,David Foucault,,sports,football,Shared Services Canada,
30/10/2014,30/10/2014,Dave Babych,,sports,hockey,Shared Services Canada,
31/10/2014,31/10/2014,HMCS Fredericton (FFH 337),,military,military unit,Canadian Department of National Defence,
31/10/2014,31/10/2014,HMCS Fredericton (FFH 337),,military,military unit,Canadian Department of National Defence,
01/11/2014,01/11/2014,Marcia Young,,media,radio,Canadian Broadcasting Corporation,
03/11/2014,03/11/2014,ATP World Tour records,,sports,tennis,Canadian Department of National Defence,
03/11/2014,03/11/2014,Ted Nugent,,media,music,Natural Resources Canada,
03/11/2014,03/11/2014,Alexandra Feodorovna (Alix of Hesse),,politics,royalty,Library and Archives Canada,
03/11/2014,03/11/2014,Émile Durkheim,,art,sociology,Department of Justice Canada,
03/11/2014,03/11/2014,Émile Durkheim,,art,sociology,Department of Justice Canada,
03/11/2014,03/11/2014,Émile Durkheim,,art,sociology,Department of Justice Canada,
03/11/2014,03/11/2014,Émile Durkheim,,art,sociology,Department of Justice Canada,
03/11/2014,03/11/2014,Émile Durkheim,,art,sociology,Department of Justice Canada,
03/11/2014,03/11/2014,Émile Durkheim,,art,sociology,Department of Justice Canada,
03/11/2014,03/11/2014,Émile Durkheim,,art,sociology,Department of Justice Canada,
03/11/2014,03/11/2014,List of Indianapolis Colts starting quarterbacks,,sports,football,Shared Services Canada,
03/11/2014,03/11/2014,List of Indianapolis Colts starting quarterbacks,,sports,football,Shared Services Canada,
03/11/2014,03/11/2014,Star Citizen,,media,game,Shared Services Canada,
03/11/2014,03/11/2014,New England Black Wolves,,sports,lacrosse,Shared Services Canada,
03/11/2014,03/11/2014,Template:New England Black Wolves roster,,template,template,Shared Services Canada,
03/11/2014,03/11/2014,Star Citizen,,media,game,Shared Services Canada,
03/11/2014,03/11/2014,Star Citizen,,media,game,Shared Services Canada,
03/11/2014,03/11/2014,Crytek,,media,game,Shared Services Canada,
03/11/2014,03/11/2014,Ryse: Son of Rome,,media,game,Shared Services Canada,
03/11/2014,03/11/2014,Céline Hervieux-Payette,,politics,politician,Canadian House of Commons,
03/11/2014,03/11/2014,Céline Hervieux-Payette,,politics,politician,Canadian House of Commons,
03/11/2014,03/11/2014,Céline Hervieux-Payette,,politics,politician,Canadian House of Commons,
03/11/2014,03/11/2014,Céline Hervieux-Payette,,politics,politician,Canadian House of Commons,
04/11/2014,04/11/2014,Ivan Stojmenović,,science,scientist,Shared Services Canada,
04/11/2014,04/11/2014,Modèle:AccueilArticleDeLaSemaine/30 2006,,template,template,Environment Canada,
04/11/2014,04/11/2014,Portail:Suisse/Tableau principal/Lumière sur/1 2012,,portal,portal,Environment Canada,
04/11/2014,04/11/2014,Portail:Géographie/Nouvelles,,portal,portal,Environment Canada,
04/11/2014,04/11/2014,Portail:Météorologie/4,,portal,portal,Environment Canada,
04/11/2014,04/11/2014,Portail:Météorologie/7,,portal,portal,Environment Canada,
04/11/2014,04/11/2014,Portail:Géodésie et géophysique/Articles,,portal,portal,Environment Canada,
04/11/2014,04/11/2014,Portail:Géographie de la Suisse/Lumière sur.../1,,portal,portal,Environment Canada,
04/11/2014,04/11/2014,Portail:Suisse/Tableau principal/Lumière sur/51 2009,,portal,portal,Environment Canada,
04/11/2014,04/11/2014,Portail:Ville de Québec/Lumière sur/Archives,,portal,portal,Environment Canada,
04/11/2014,04/11/2014,Portail:Information géographique/Lumière et actualités,,portal,portal,Environment Canada,
04/11/2014,04/11/2014,Portail:Suisse/Tableau principal/Lumière sur/51 2010,,portal,portal,Environment Canada,
04/11/2014,04/11/2014,Portail:Suisse/Tableau principal/Lumière sur/1 2013,,portal,portal,Environment Canada,
