date,category,sub-category,article,branch
10/09/2014,military,soldier,Otto Carius,Canadian Department of National Defence
10/09/2014,military,soldier,Otto Carius,Canadian Department of National Defence
10/09/2014,place,geography,Passage du Nord-Ouest,Shared Services Canada
10/09/2014,place,ontario canada,Parks Canada,Shared Services Canada
10/09/2014,place,ontario canada,Parcs Canada,Shared Services Canada
10/09/2014,language,language,Newfoundland English,Shared Services Canada
10/09/2014,place,nunavut canada,Queen Maud Gulf Migratory Bird Sanctuary,Environment Canada
10/09/2014,politics,politician,Jean-François Larose,Canadian House of Commons
10/09/2014,politics,politician,Jean-François Larose,Canadian House of Commons
10/09/2014,military,military unit,Royal Canadian Navy,Canadian Department of National Defence
10/09/2014,sports,soccer,Cameroon national football team,Shared Services Canada
10/09/2014,sports,soccer,Cameroon national football team,Shared Services Canada
10/09/2014,media,music,Wendy Son,Shared Services Canada
10/09/2014,sports,soccer,Cameroon national football team,Shared Services Canada
10/09/2014,sports,soccer,Cameroon national football team,Shared Services Canada
10/09/2014,sports,soccer,Cameroon national football team,Shared Services Canada
10/09/2014,sports,soccer,Cameroon national football team,Shared Services Canada
10/09/2014,place,new brunswick canada,Saint John New Brunswick,Canadian Department of National Defence
10/09/2014,place,british colombia canada,White Rock British Columbia,Shared Services Canada
11/09/2014,military,military event,Sacrifice Medal,Canadian Department of National Defence
11/09/2014,media,actor,Kunal Nayyar,Shared Services Canada
11/09/2014,place,africa,Lake Chad,Shared Services Canada
11/09/2014,place,africa,Lake Chad,Shared Services Canada
11/09/2014,place,africa,Lake Chad,Shared Services Canada
11/09/2014,military,military unit,HMCS Iroquois (DDG 280),Canadian Department of National Defence
11/09/2014,science,product,Light crude oil,Shared Services Canada
11/09/2014,religion,religious place,List of Ottawa churches,Statistics Canada
11/09/2014,religion,religious place,List of Ottawa churches,Statistics Canada
11/09/2014,religion,religious place,List of Ottawa churches,Statistics Canada
11/09/2014,religion,religious place,List of Ottawa churches,Statistics Canada
11/09/2014,military,military rank,Lieutenant (Canada),Canadian Department of National Defence
11/09/2014,religion,religion,Taoism,Environment Canada
12/09/2014,aboriginal,First Nations,List of First Nations governments,Shared Services Canada
15/09/2014,place,nunavut canada,Lady Ann Strait,Environment Canada
15/09/2014,file,file,File:Nur fur deutsche.jpg,Canadian Department of National Defence
15/09/2014,place,north america,Rupert's Land,Shared Services Canada
15/09/2014,media,music,Never Say Never,Shared Services Canada
15/09/2014,media,film,The Untouchables (film),Finance Canada
15/09/2014,media,film,The Untouchables (film),Shared Services Canada
15/09/2014,military,military unit,HMS Birkenhead (1845),Finance Canada
15/09/2014,military,military unit,HMS Birkenhead (1845),Shared Services Canada
16/09/2014,politics,department,List of diplomatic missions of Canada,Shared Services Canada
16/09/2014,media,game,GURPS,Shared Services Canada
16/09/2014,product,clothing,Shirt Tales,Government of Canada
16/09/2014,product,clothing,Shirt Tales,Shared Services Canada
16/09/2014,media,television,Hanna–Barbera Classics Collection,Government of Canada
16/09/2014,media,television,Hanna–Barbera Classics Collection,Shared Services Canada
16/09/2014,product,clothing,Shirt Tales,Government of Canada
16/09/2014,product,clothing,Shirt Tales,Shared Services Canada
16/09/2014,language,language,Quebec French profanity,Shared Services Canada
16/09/2014,language,language,Quebec French profanity,Shared Services Canada
16/09/2014,media,film,Secret Nation,Canadian House of Commons
16/09/2014,religion,religion,Existence of God,Finance Canada
16/09/2014,religion,religion,Existence of God,Shared Services Canada
16/09/2014,place,ontario canada,Ancaster Ontario,Natural Resources Canada
16/09/2014,politics,politician,Eve Adams,Canadian House of Commons
17/09/2014,file,file,File:Böenfront.jpg,Environment Canada
17/09/2014,file,file,File:Фронтальный раздел около Томска.jpg,Environment Canada
17/09/2014,science,math,Crombie REIT,Shared Services Canada
17/09/2014,place,ontario canada,Vernon Ontario,Canadian Department of National Defence
17/09/2014,military,military unit,21 Electronic Warfare Regiment,Canadian Department of National Defence
17/09/2014,politics,law,Transportation in North America,Statistics Canada
17/09/2014,politics,law,Transportation in North America,Statistics Canada
17/09/2014,politics,law,Transportation in North America,Statistics Canada
17/09/2014,politics,law,Transportation in North America,Statistics Canada
17/09/2014,draft,draft,Draft:Veterans Land Act,Finance Canada
17/09/2014,draft,draft,Draft:Veterans Land Act,Shared Services Canada
17/09/2014,draft,draft,Draft:Veterans Land Act,Finance Canada
17/09/2014,draft,draft,Draft:Veterans Land Act,Shared Services Canada
18/09/2014,media,actor,Nicole Scherzinger,Shared Services Canada
18/09/2014,media,actor,Nicole Scherzinger,Shared Services Canada
18/09/2014,template,template,Modélisation de processus,Shared Services Canada
18/09/2014,animal,water animal,Ocean sunfish,Finance Canada
18/09/2014,animal,water animal,Ocean sunfish,Shared Services Canada
18/09/2014,place,nova scotia canada,Amherst Nova Scotia,Canadian Department of National Defence
18/09/2014,template,template,Template:WA Entertainment,Shared Services Canada
18/09/2014,template,template,Template:WA Entertainment,Shared Services Canada
18/09/2014,science,science object,Amoeba Culture,Shared Services Canada
18/09/2014,technology,software,Animoto,Shared Services Canada
19/09/2014,military,military unit,4 Engineer Support Regiment,Canadian Department of National Defence
19/09/2014,media,media,Dionne quintuplets,Shared Services Canada
19/09/2014,technology,software,RemoteView,Canadian Department of National Defence
19/09/2014,military,soldier,List of First World War Victoria Cr,Canadian Department of National Defence
19/09/2014,media,film,Brick (film),Industry Canada
19/09/2014,place,geographic term,Hanuabada,Shared Services Canada
21/09/2014,media,actor,Vince Vaughn,Shared Services Canada
21/09/2014,military,military unit,HMS Fury (1814),Shared Services Canada
22/09/2014,media,model,Kira Kazantsev,Shared Services Canada
22/09/2014,politics,law,Mass surveillance in the United Sta,Canadian Department of National Defence
22/09/2014,politics,law,Mass surveillance in the United Sta,Canadian Department of National Defence
23/09/2014,politics,politician,Graydon Nicholas,Shared Services Canada
23/09/2014,sports,lacrosse,Maritime University Field Lacrosse League,Federal Court of Canada
23/09/2014,sports,lacrosse,Maritime University Field Lacrosse League,Shared Services Canada
23/09/2014,science,theory,Pseudo-nitzschia,Shared Services Canada
23/09/2014,sports,racing,UCI Road World Championships,Industry Canada
23/09/2014,place,ontario canada,Canada Science and Technology Museum,Shared Services Canada
23/09/2014,media,game,Star Citizen,Shared Services Canada
23/09/2014,media,game,Star Citizen,Shared Services Canada
24/09/2014,place,middle east,Mahdah,Shared Services Canada
24/09/2014,military,military unit,HMCS Preserver (AOR 510),Canadian Department of National Defence
24/09/2014,military,military unit,HMCS Protecteur (AOR 509),Canadian Department of National Defence
24/09/2014,military,military unit,HMCS Algonquin (DDG 283),Canadian Department of National Defence
24/09/2014,military,military unit,HMCS Algonquin (DDG 283),Canadian Department of National Defence
25/09/2014,military,military unit,Canadian Army,Canadian Department of National Defence
25/09/2014,military,military unit,3rd Canadian Division,Canadian Department of National Defence
25/09/2014,media,music,Fleetwood Mac,Government of Canada
25/09/2014,media,music,Fleetwood Mac,Shared Services Canada
25/09/2014,media,music,Abdullah Ibrahim,Shared Services Canada
25/09/2014,media,game,Star Citizen,Shared Services Canada
25/09/2014,sports,hockey,Bullet Joe Simpson,Canadian Broadcasting Corporation
26/09/2014,draft,draft,Draft:Canadian Clinical Trials Asset Map,Shared Services Canada
26/09/2014,media,television,The Pebbles and Bamm-Bamm Show,Government of Canada
26/09/2014,media,television,The Pebbles and Bamm-Bamm Show,Shared Services Canada
26/09/2014,media,television,The Pebbles and Bamm-Bamm Show,Government of Canada
26/09/2014,media,television,The Pebbles and Bamm-Bamm Show,Shared Services Canada
26/09/2014,media,television,The Flintstone Comedy Hour,Government of Canada
26/09/2014,media,television,The Flintstone Comedy Hour,Shared Services Canada
26/09/2014,media,television,The Pebbles and Bamm-Bamm Show,Government of Canada
26/09/2014,media,television,The Pebbles and Bamm-Bamm Show,Shared Services Canada
26/09/2014,media,film,Confrontation at Concordia,Shared Services Canada
26/09/2014,media,film,Confrontation at Concordia,Transport Canada
26/09/2014,talk,talk,Talk:Star Citizen,Shared Services Canada
29/09/2014,politics,government,Federal districts of Russia,Shared Services Canada
29/09/2014,military,soldier,Ibrahim al-Hamdi,Shared Services Canada
29/09/2014,aviation,plane,Flying car (aircraft),Department of Justice Canada
30/09/2014,science,theory,Denial,Shared Services Canada
30/09/2014,language,name,Rector (surname),Canadian Department of National Defence
30/09/2014,language,name,Rector (surname),Canadian Department of National Defence
01/10/2014,sports,table tennis,Table tennis at the 2014 Asian Games – Men's singles,Shared Services Canada
01/10/2014,sports,table tennis,Table tennis at the 2014 Asian Games – Men's singles,Shared Services Canada
01/10/2014,media,event,National Patriots' Day,Canadian House of Commons
01/10/2014,science,scientist,Ralph A. Lewin,Shared Services Canada
01/10/2014,science,theory,Escitalopram,Shared Services Canada
01/10/2014,education,university,Zagazig,Industry Canada
01/10/2014,military,military battle,Battle of the Sambre (1918),Shared Services Canada
01/10/2014,politics,politics event,Peel Region municipal elections 20,Canadian Department of National Defence
01/10/2014,politics,politics event,Peel Region municipal elections 20,Canadian Department of National Defence
02/10/2014,media,television,Dragons' Den (Canada),Canadian Broadcasting Corporation
03/10/2014,sports,hockey,Ron Francis,Industry Canada
03/10/2014,technology,telephone,Area codes 902 and 782,Shared Services Canada
03/10/2014,sports,athletics,Cinderella (sports),Industry Canada
03/10/2014,sports,athletics,Cinderella (sports),Industry Canada
03/10/2014,military,military ranks,List of comparative military ranks,Canadian Department of National Defence
03/10/2014,military,military ranks,List of comparative military ranks,Canadian Department of National Defence
03/10/2014,talk,talk,Talk:Northwest Passage,Canadian Department of National Defence
03/10/2014,media,artist,Kenojuak Ashevak,Shared Services Canada
03/10/2014,sports,baseball,Inside-the-park home run,Shared Services Canada
03/10/2014,sports,baseball,Inside-the-park home run,Shared Services Canada
03/10/2014,sports,baseball,Inside-the-park home run,Shared Services Canada
03/10/2014,politics,politician,John Williamson (Canadian politician),Canadian House of Commons
03/10/2014,science,theory,Nonlinear autoregressive exogenous model,Statistics Canada
03/10/2014,science,theory,Autoregressive conditional heteroskedasticity,Statistics Canada
03/10/2014,science,theory,Autoregressive conditional heteroskedasticity,Statistics Canada
03/10/2014,science,theory,Multivariate adaptive regression splines,Statistics Canada
03/10/2014,politics,politician,Nicole Eaton,Canadian House of Commons
04/10/2014,place,manitoba canada,List of municipalities in Manitoba,Shared Services Canada
05/10/2014,military,military unit,The British Columbia Regiment (Duke,Canadian Department of National Defence
06/10/2014,product,clothing,Velours,Shared Services Canada
06/10/2014,science,math,80 (nombre),Shared Services Canada
06/10/2014,politics,person,Robert Giguère,Library and Archives Canada
06/10/2014,sports,football,Investors Group Field,Industry Canada
06/10/2014,media,music,Fire and Water (Free album),Shared Services Canada
06/10/2014,politics,department,Embassy of Chad in Washington D.C.,Shared Services Canada
06/10/2014,politics,department,Transportation Safety Board of Canada,Shared Services Canada
06/10/2014,politics,department,Transportation Safety Board of Canada,Shared Services Canada
06/10/2014,politics,department,Transportation Safety Board of Canada,Shared Services Canada
06/10/2014,politics,department,Transportation Safety Board of Canada,Shared Services Canada
06/10/2014,media,music,John Fields (record producer),Natural Resources Canada
07/10/2014,science,theory,Central sleep apnea,Shared Services Canada
07/10/2014,politics,politics event,Ottawa municipal election  2014,Shared Services Canada
07/10/2014,religion,religious person,William Booth,Canadian Department of National Defence
07/10/2014,media,game,Star Citizen,Shared Services Canada
07/10/2014,wikipedia,wikipedia,Wikipedia:Articles for creation/Redirects,Shared Services Canada
07/10/2014,politics,politician,Jean-François Larose,Canadian House of Commons
07/10/2014,place,quebec canada,Kiryas Tosh,Shared Services Canada
07/10/2014,media,game,Star Citizen,Shared Services Canada
07/10/2014,media,game,Star Citizen,Shared Services Canada
07/10/2014,sports,water polo,Gordon Van Tol,Shared Services Canada
07/10/2014,military,military unit,The North Saskatchewan Regiment,Canadian Department of National Defence
08/10/2014,aviation,airline,Royal Jordanian,Shared Services Canada
08/10/2014,science,medicine,Grippe,Shared Services Canada
08/10/2014,draft,draft,Draft:Ihor Walter Bardyn,Canadian House of Commons
08/10/2014,portal,portal,Portail:Apple/Matériel,Canadian Department of National Defence
08/10/2014,portal,portal,Portail:Apple/Matériel,Canadian Department of National Defence
08/10/2014,politics,law,Receiver of Wreck,Shared Services Canada
08/10/2014,politics,law,Receiver of Wreck,Transport Canada
08/10/2014,media,music,It Hurts Me Too,Natural Resources Canada
08/10/2014,sports,hockey,2002 Air Canada Cup,Shared Services Canada
08/10/2014,politics,politician,Douglas Jung,Environment Canada
09/10/2014,sports,hockey,NHL Heritage Classic,Shared Services Canada
09/10/2014,sports,hockey,NHL Heritage Classic,Shared Services Canada
09/10/2014,politics,poltical event,Greater Winnipeg Water District aqueduct,Shared Services Canada
09/10/2014,military,military ranks,List of comparative military ranks,Shared Services Canada
09/10/2014,military,military unit,The Brockville Rifles,Canadian Department of National Defence
09/10/2014,politics,organisation,Canadian Red Cross,Environment Canada
09/10/2014,politics,organisation,Canadian Red Cross,Environment Canada
09/10/2014,military,soldier,Paul Triquet,Canadian Department of National Defence
09/10/2014,politics,politician,Dick Pound,Canadian Department of National Defence
09/10/2014,military,military equipment,McDonnell Douglas CF-18 Hornet,Canadian Department of National Defence
09/10/2014,military,military equipment,McDonnell Douglas CF-18 Hornet,Canadian Department of National Defence
10/10/2014,military,military unit,South Alberta Light Horse,Canadian Department of National Defence
10/10/2014,military,military unit,South Alberta Light Horse,Canadian Department of National Defence
10/10/2014,military,military unit,South Alberta Light Horse,Canadian Department of National Defence
10/10/2014,military,military unit,South Alberta Light Horse,Canadian Department of National Defence
10/10/2014,military,military unit,South Alberta Light Horse,Canadian Department of National Defence
10/10/2014,military,military unit,South Alberta Light Horse,Canadian Department of National Defence
10/10/2014,military,military unit,South Alberta Light Horse,Canadian Department of National Defence
10/10/2014,technology,application,WhatsApp,Shared Services Canada
10/10/2014,talk,talk,Talk:Shelly Glover,Canadian House of Commons
10/10/2014,science,theory,Multilinear principal component analysis,Statistics Canada
10/10/2014,media,music,AC/DC,Canadian Department of National Defence
12/10/2014,media,music,Ramones,Canadian Department of National Defence
12/10/2014,science,theory,Preso de conciencia,Shared Services Canada
12/10/2014,science,theory,Preso de conciencia,Shared Services Canada
13/10/2014,politics,organisation,Consejo de Guardianes,Shared Services Canada
13/10/2014,politics,politician,Mohsén Rezaí,Shared Services Canada
14/10/2014,media,editor,Léo Bonneville,Department of Justice Canada
14/10/2014,politics,politician,Dean Allison,Canadian House of Commons
14/10/2014,talk,talk,Talk:Far side of the Moon,Industry Canada
14/10/2014,sports,soccer,Toronto FC,Environment Canada
14/10/2014,place,ontario canada,Ancaster Ontario,Natural Resources Canada
14/10/2014,media,film,Splendor in the Grass,Industry Canada
14/10/2014,politics,politician,David Xiao,Canadian House of Commons
14/10/2014,politics,music,Solidarity Forever,Industry Canada
14/10/2014,place,ontario canada,Ancaster Ontario,Natural Resources Canada
15/10/2014,media,television,Chic-a-Go-Go,Canadian Broadcasting Corporation
15/10/2014,media,music,Tub Ring,Canadian Broadcasting Corporation
15/10/2014,media,film,The Debaters,Industry Canada
15/10/2014,place,ontario canada,Callander Ontario,Shared Services Canada
15/10/2014,place,ontario canada,Callander Ontario,Shared Services Canada
15/10/2014,place,ontario canada,Place d'Orléans,Shared Services Canada
15/10/2014,politics,politician,Janis Johnson,Canadian House of Commons
15/10/2014,politics,politician,Janis Johnson,Canadian House of Commons
15/10/2014,politics,politician,Janis Johnson,Canadian House of Commons
15/10/2014,politics,politician,Janis Johnson,Canadian House of Commons
15/10/2014,politics,politician,Janis Johnson,Canadian House of Commons
15/10/2014,politics,politician,Janis Johnson,Canadian House of Commons
16/10/2014,place,europe,Gibraltar,Shared Services Canada
16/10/2014,politics,politics event,Incorporation of Tibet into the Peo,Canadian Department of National Defence
16/10/2014,politics,organisation,Standards Council of Canada,Shared Services Canada
16/10/2014,aviation,airport,Aéroport d'Iqaluit,Shared Services Canada
16/10/2014,aviation,airport,Aéroport d'Iqaluit,Shared Services Canada
16/10/2014,media,game,Star Citizen,Shared Services Canada
16/10/2014,disambiguation,disambiguation,McTaggart,Shared Services Canada
16/10/2014,science,science place,Institut suédois de météorologie et d'hydrologie,Environment Canada
16/10/2014,template,template,Modèle:Palette Services météorologiques nationaux,Environment Canada
16/10/2014,politics,department,SMHI,Environment Canada
16/10/2014,template,template,Tempête Xaver,Environment Canada
16/10/2014,file,file,File:Smhiofficesnorrkoping.jpg,Environment Canada
16/10/2014,category,category,Category:Swedish Meteorological and Hydrological Institu,Environment Canada
16/10/2014,file,file,File:SMHI Observatoriekullen 2011.jpg,Environment Canada
16/10/2014,file,file,File:SMHI Observatoriekullen 2011.jpg,Environment Canada
16/10/2014,media,music,Wendy Son,Environment Canada
16/10/2014,technology,parachute,Wingsuit flying,Shared Services Canada
16/10/2014,technology,parachute,Wingsuit flying,Transport Canada
16/10/2014,technology,parachute,Wingsuit flying,Shared Services Canada
16/10/2014,technology,parachute,Wingsuit flying,Transport Canada
16/10/2014,file,file,File:Tree of Wisdom Wellcome L0017329.jpg,Environment Canada
16/10/2014,file,file,File:Weather table for month of December 1777  France W,Environment Canada
16/10/2014,file,file,File:Weather table for the month of August 1776 France,Environment Canada
16/10/2014,file,file,File:Weather table for the year 1776 France Wellcome L0,Environment Canada
16/10/2014,file,file,File:Weather table for the year 1777 France Wellcome L0,Environment Canada
16/10/2014,science,theory,Cyclone Hudhud,Environment Canada
16/10/2014,science,environment,King City weather radar station,Environment Canada
16/10/2014,place,america,Carthage Missouri,Industry Canada
17/10/2014,media,music,Glass Swords,Shared Services Canada
17/10/2014,media,music,Glass Swords,Transport Canada
17/10/2014,portal,portal,Portail:Apple/Matériel,Canadian Department of National Defence
17/10/2014,portal,portal,Portail:Apple/Matériel,Canadian Department of National Defence
17/10/2014,media,music,5th Projekt,Canadian Broadcasting Corporation
17/10/2014,media,music,5th Projekt,Canadian Broadcasting Corporation
17/10/2014,media,music,5th Projekt,Canadian Broadcasting Corporation
17/10/2014,media,music,5th Projekt,Canadian Broadcasting Corporation
17/10/2014,media,music,5th Projekt,Canadian Broadcasting Corporation
17/10/2014,military,military rank,Canadian Forces ranks and insignia,Canadian Department of National Defence
17/10/2014,place,america,Pacific Palisades Los Angeles,Industry Canada
17/10/2014,talk,talk,Talk:Star Citizen,Shared Services Canada
19/10/2014,sports,football,Junior Ah You,Finance Canada
19/10/2014,sports,football,Junior Ah You,Shared Services Canada
20/10/2014,science,medicine,Xylitol,Natural Resources Canada
20/10/2014,politics,royalty,Benoît XVI,Canadian Department of National Defence
20/10/2014,police,police,List of killings by law enforcement officers in Cana,Shared Services Canada
20/10/2014,media,game,Star Citizen,Shared Services Canada
20/10/2014,police,police,List of killings by law enforcement officers in Cana,Shared Services Canada
20/10/2014,media,game,Star Citizen,Shared Services Canada
20/10/2014,talk,talk,Talk:Star Citizen,Shared Services Canada
20/10/2014,media,game,Star Citizen,Shared Services Canada
21/10/2014,police,police,List of killings by law enforcement officers in Cana,Shared Services Canada
21/10/2014,media,producer,Suzanne Todd,Natural Resources Canada
21/10/2014,media,television,List of Homestar Runner characters,Shared Services Canada
21/10/2014,media,television,List of Homestar Runner characters,Finance Canada
21/10/2014,media,television,List of Homestar Runner characters,Finance Canada
21/10/2014,media,television,List of Homestar Runner characters,Shared Services Canada
21/10/2014,media,television,List of Homestar Runner characters,Finance Canada
21/10/2014,media,television,List of Homestar Runner characters,Shared Services Canada
21/10/2014,media,television,List of Homestar Runner characters,Shared Services Canada
21/10/2014,media,television,List of Homestar Runner characters,Finance Canada
21/10/2014,politics,politician,Yvon Godin,Canadian House of Commons
21/10/2014,science,company,Valeant Pharmaceuticals,Environment Canada
22/10/2014,wikipedia,wikipedia,Wikipedia:The Wikipedia Library/Research desk,Environment Canada
22/10/2014,education,university,Norman Paterson School of International Affairs,Shared Services Canada
22/10/2014,education,university,Norman Paterson School of International Affairs,Shared Services Canada
22/10/2014,politics,organisation,Serjeant-at-Arms,Department of Fisheries and Oceans
22/10/2014,politics,organisation,Serjeant-at-Arms,Shared Services Canada
22/10/2014,sports,baseball,Darin Erstad,Shared Services Canada
23/10/2014,talk,talk,Talk:Standards Council of Canada,Shared Services Canada
23/10/2014,politics,organisation,Standards Council of Canada,Shared Services Canada
23/10/2014,talk,talk,Talk:Mrs Vandebilt,Natural Resources Canada
23/10/2014,politics,organisation,Serjeant-at-Arms,Library and Archives Canada
23/10/2014,place,ontario canada,Centre Block,Library and Archives Canada
23/10/2014,place,ontario canada,Centre Block,Library and Archives Canada
23/10/2014,place,ontario canada,Centre Block,Library and Archives Canada
23/10/2014,military,military place,NATO Research and Technology Organi,Canadian Department of National Defence
24/10/2014,terrorism,attack,2014 shootings at Parliament Hill Ottawa,Shared Services Canada
24/10/2014,sports,rugby,Canada national rugby union team,Shared Services Canada
24/10/2014,sports,mixed martial arts,Conor McGregor,Canadian Department of National Defence
24/10/2014,sports,racing,2015 Indy Lights season,Natural Resources Canada
24/10/2014,media,music,List of compositions by Johann Nepomuk Hu,Canadian Broadcasting Corporation
24/10/2014,politics,people,Franco-Ontariens,Shared Services Canada
25/10/2014,media,rapper,Bobby Shmurda,Canadian Museum of Civilization
26/10/2014,politics,law,Vehicle registration plates of Cana,Canadian Department of National Defence
27/10/2014,place,asia,西灣國殤紀念墳場,Shared Services Canada
27/10/2014,file,file,File:Courant-Jet 2.png,Environment Canada
27/10/2014,media,comic,List of Middle Eastern superheroes,Shared Services Canada
27/10/2014,politics,banking,Gordon Thiessen,Department of Justice Canada
27/10/2014,talk,talk,Talk:Scam City,Shared Services Canada
27/10/2014,talk,talk,Talk:Scam City,Shared Services Canada
28/10/2014,politics,political history,Champlain Society,Canadian Broadcasting Corporation
28/10/2014,politics,political history,Champlain Society,Canadian Broadcasting Corporation
28/10/2014,politics,political history,Champlain Society,Canadian Broadcasting Corporation
28/10/2014,politics,political history,Champlain Society,Canadian Broadcasting Corporation
28/10/2014,media,music,Richacha Balengola,Shared Services Canada
28/10/2014,media,music,Richacha Balengola,Shared Services Canada
28/10/2014,sports,soccer,Kendall Waston,Industry Canada
28/10/2014,sports,basketball,Paul Pierce,Canadian Department of National Defence
28/10/2014,place,ontario canada,Stormont Dundas and Glengarry United Counties munic,Shared Services Canada
28/10/2014,place,ontario canada,Clarington,Canadian House of Commons
28/10/2014,place,ontario canada,Clarington,Canadian House of Commons
28/10/2014,media,author,Stanley Ellin,Finance Canada
28/10/2014,media,author,Stanley Ellin,Shared Services Canada
28/10/2014,politics,politician,Dean Del Mastro,Canadian House of Commons
28/10/2014,category,category,Category:Cyclone Bejisa,Environment Canada
28/10/2014,file,file,File:Bejisa Dec 30 2013 0640Z.jpg,Environment Canada
28/10/2014,file,file,File:Bejisa Dec 31 2013 1010Z.jpg,Environment Canada
28/10/2014,file,file,File:Bejisa Jan 1 2014 0630Z.jpg,Environment Canada
28/10/2014,file,file,File:Bejisa Jan 2 2014 1000Z.jpg,Environment Canada
28/10/2014,file,file,File:Bejisa 31 december 2013 0004 utc trmm pr.jpg,Environment Canada
28/10/2014,file,file,File:Bejisa 31 december 2013 0004 utc trmm pr.jpg,Environment Canada
28/10/2014,file,file,File:Indonesia Cloud Towers.jpg,Environment Canada
28/10/2014,language,event,Social isolation,Shared Services Canada
28/10/2014,file,file,File:Indonesia Cloud Towers.jpg,Environment Canada
28/10/2014,file,file,File:Grainfield(byTaylorLeopold).jpg,Environment Canada
28/10/2014,politics,politician,Judy Sgro,Canadian House of Commons
28/10/2014,media,comedy,Andrée Boucher (comédienne),Shared Services Canada
29/10/2014,media,television,Hanna-Barbera Classics Collection,Government of Canada
29/10/2014,media,television,Hanna-Barbera Classics Collection,Shared Services Canada
29/10/2014,media,television,Hanna-Barbera,Government of Canada
29/10/2014,media,television,Hanna-Barbera,Shared Services Canada
29/10/2014,media,film,The Facts of Life Reunion,Government of Canada
29/10/2014,media,film,The Facts of Life Reunion,Shared Services Canada
29/10/2014,media,singer,Stefie Shock,Shared Services Canada
29/10/2014,place,ontario canada,Clarence-Rockland,Natural Resources Canada
29/10/2014,media,television,Hanna–Barbera Classics Collection,Government of Canada
29/10/2014,media,television,Hanna–Barbera Classics Collection,Shared Services Canada
29/10/2014,media,television,Hanna–Barbera Classics Collection,Government of Canada
29/10/2014,media,television,Hanna–Barbera Classics Collection,Shared Services Canada
29/10/2014,sports,racing,2015 Indy Lights season,Natural Resources Canada
29/10/2014,sports,racing,2015 Indy Lights season,Natural Resources Canada
29/10/2014,sports,racing,2015 Indy Lights season,Natural Resources Canada
29/10/2014,media,television,Hanna–Barbera Classics Collection,Government of Canada
29/10/2014,media,television,Hanna–Barbera Classics Collection,Shared Services Canada
29/10/2014,media,television,Hanna–Barbera Classics Collection,Government of Canada
29/10/2014,media,television,Hanna–Barbera Classics Collection,Shared Services Canada
29/10/2014,media,television,Challenge of the GoBots,Government of Canada
29/10/2014,media,television,Challenge of the GoBots,Shared Services Canada
29/10/2014,media,television,Hanna–Barbera Classics Collection,Government of Canada
29/10/2014,media,television,Hanna–Barbera Classics Collection,Shared Services Canada
29/10/2014,media,television,Hanna–Barbera Classics Collection,Government of Canada
29/10/2014,media,television,Hanna–Barbera Classics Collection,Shared Services Canada
29/10/2014,media,television,Hanna–Barbera Classics Collection,Government of Canada
29/10/2014,media,television,Hanna–Barbera Classics Collection,Shared Services Canada
29/10/2014,politics,politician,Deepak Chopra (Canada Post),Shared Services Canada
29/10/2014,file,file,File:Clouds (4203745902).jpg,Environment Canada
30/10/2014,sports,baseball,Chicago Cubs,Shared Services Canada
30/10/2014,place,ontario canada,Leaside,Environment Canada
30/10/2014,place,ontario canada,Leaside,Environment Canada
30/10/2014,product,food,Dolci dei morti,Shared Services Canada
30/10/2014,media,radio,Q (radio show),Canadian Broadcasting Corporation
30/10/2014,politics,politics event,Free trade agreements of Canada,Shared Services Canada
30/10/2014,politics,politics event,Free trade agreements of Canada,Shared Services Canada
30/10/2014,politics,politics event,Free trade agreements of Canada,Shared Services Canada
30/10/2014,politics,politics event,Free trade agreements of Canada,Shared Services Canada
30/10/2014,politics,politics event,Free trade agreements of Canada,Shared Services Canada
30/10/2014,media,television,Jian Ghomeshi alleged sexual abuse scandal,Natural Resources Canada
30/10/2014,politics,politician,Allan Rock,Industry Canada
30/10/2014,science,theory,Forêt humide,Environment Canada
30/10/2014,template,template,Modèle:Palette Temps (météorologie),Environment Canada
30/10/2014,sports,football,David Foucault,Shared Services Canada
30/10/2014,sports,hockey,Dave Babych,Shared Services Canada
31/10/2014,military,military unit,HMCS Fredericton (FFH 337),Canadian Department of National Defence
31/10/2014,military,military unit,HMCS Fredericton (FFH 337),Canadian Department of National Defence
01/11/2014,media,radio,Marcia Young,Canadian Broadcasting Corporation
03/11/2014,sports,tennis,ATP World Tour records,Canadian Department of National Defence
03/11/2014,media,music,Ted Nugent,Natural Resources Canada
03/11/2014,politics,royalty,Alexandra Feodorovna (Alix of Hesse),Library and Archives Canada
03/11/2014,art,sociology,Émile Durkheim,Department of Justice Canada
03/11/2014,art,sociology,Émile Durkheim,Department of Justice Canada
03/11/2014,art,sociology,Émile Durkheim,Department of Justice Canada
03/11/2014,art,sociology,Émile Durkheim,Department of Justice Canada
03/11/2014,art,sociology,Émile Durkheim,Department of Justice Canada
03/11/2014,art,sociology,Émile Durkheim,Department of Justice Canada
03/11/2014,art,sociology,Émile Durkheim,Department of Justice Canada
03/11/2014,sports,football,List of Indianapolis Colts starting quarterbacks,Shared Services Canada
03/11/2014,sports,football,List of Indianapolis Colts starting quarterbacks,Shared Services Canada
03/11/2014,media,game,Star Citizen,Shared Services Canada
03/11/2014,sports,lacrosse,New England Black Wolves,Shared Services Canada
03/11/2014,template,template,Template:New England Black Wolves roster,Shared Services Canada
03/11/2014,media,game,Star Citizen,Shared Services Canada
03/11/2014,media,game,Star Citizen,Shared Services Canada
